System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
ViT-Base/32,Vision,Image representation,"Google Research, Brain Team",Industry,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",22/10/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/abs/2010.11929,7.29E+02,,8.60E+07,,,,,,,"0.25 (512px image, one TPUv3 core)",,,,Score,,Industry
ViT-Huge/14,Vision,Image representation,"Google Research, Brain Team",Industry,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",22/10/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/abs/2010.11929,7.29E+02,,6.32E+08,,,,,,,"100 (512px image, one TPUv3 core)",,,,,,Industry
SimCLRv2,,,"Google Research, Brain team",Industry,"Ting Chen, Simon Kornblith, Kevin Swersky, Mohammad Norouzi, and Geoffrey Hinton",26/10/2020,2020,Big self- supervised models are strong semi-supervised learners.,https://arxiv.org/abs/2006.10029,4.57E+02,,7.95E+08,,,1.28E+06,,,,,,,,,,Industry
KEPLER,Language,Relation Extraction,"Tsinghua University, Princeton, Mila- Quebec AI, University de Montreal, HEC, CIFAR",Academia,"Xiaozhi Wang, Tianyu Gao, Zhaocheng Zhu, Zhiyuan Liu, Juanzi Li, and Jian Tang.",23/11/2020,2020,KEPLER: A Unified Model for Knowledge Embedding and Pre- trained Language Representation.,https://arxiv.org/abs/1911.06136,9.60E+01,,1.10E+08,1.2E+20,Wikipedia+BookCorpus,3.30E+09,,,,,,,,,,Academia
AlphaFold2,Other,Protein folding prediction,DeepMind,Industry,"John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Kathryn Tunyasuvunakool, Olaf Ronneberger, Russ Bates, Augustin Žídek, Alex Bridgland, Clemens Meyer, Simon A A Kohl, Anna Potapenko, Andrew J Ballard, Andrew Cowie, Bernardino Romera-Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Martin Steinegger, Michalina Pacholska, David Silver, Oriol Vinyals, Andrew W Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis.",30/11/2020,2020,High Accuracy Protein Structure Prediction Using Deep Learning,https://www.nature.com/articles/s41586-021-03819-2,5.80E+01,,,,,,,,,,,,,,,Industry
CPM-Large,Language,,"Tsinghua University, BAAI",Industry - Academia Collaboration,"Z Zhang, X Han, H Zhou, P Ke, Y Gu, D Ye, Y Qin, Y Su",01/12/2020,2020,CPM: A Large-scale Generative Chinese Pre-trained Language Model,https://arxiv.org/abs/2012.00413,1.00E+01,,2.60E+09,1.8E+21,,1.67E+10,,,,,,,,,1.20E+07,Industry
VQGAN + CLIP,Drawing,Text-to-image,Heidelberg University,Academia,"Patrick Esser, Robin Rombach, Björn Ommer",17/12/2020,2020,Taming Transformers for High-Resolution Image Synthesis,https://github.com/CompVis/taming-transformers,3.20E+01,,,,,,,,,,,,,,,Academia
AraGPT2-Mega,Language,,American University of Beirut,Academia,"W Antoun, F Baly, H Hajj",31/12/2020,2020,AraGPT2: Pre-Trained Transformer for Arabic Language Generation,https://arxiv.org/abs/2012.15520,4.00E+00,,1.50E+09,2.0E+21,,8.80E+09,,,,,,,,,,Academia
NEO (DL:RM-2022),Recommendation,,Facebook,Industry,"D Mudigere, Y Hao, J Huang, A Tulloch",15/09/2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,2.00E+00,,3.00E+12,1.1E+21,,,,,,,,,,,,Industry
Primer,Language,,"Google Research, Brain Team",Industry,"DavidR.So, WojciechMan ́ke, HanxiaoLiu, ZihangDai, NoamShazeer, QuocV.Le",24/01/2022,2022,Primer: Searching for Efficient Transformers for Language Modeling,https://arxiv.org/abs/2109.08668,1.30E+01,,1.90E+09,7.1E+21,C4,1.73E+11,,,,,,,,,,Industry
DeBERTa,Language,,Microsoft,Industry,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",06/10/2021,2021,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,https://arxiv.org/abs/2006.03654,1.76E+02,,1.50E+09,,,1.56E+10,,,,,"160 (pretraining), ",,,,,Industry
BigSSL,Language,Audio speech recognition,"Google, Apple",Industry,"Yu Zhang,  Daniel S. Park, Wei Han,James Qin, Anmol Gulati, Joel Shor, Aren Jansen, Yuanzhong Xu, Yanping Huang, Shibo Wang, Zongwei Zhou, Bo Li, Min Ma, William Chan, Jiahui Yu, Yongqiang Wang, Liangliang Cao, Khe Chai Sim, Bhuvana Ramabhadran, Tara N. Sainath, Françoise Beaufays, Zhifeng Chen, Quoc V. Le, Chung-Cheng Chiu, Ruoming Pang and Yonghui Wu",01/10/2021,2021,BigSSL: Exploring the Frontier of Large-Scale Semi-Supervised Learning for Automatic Speech Recognition,https://arxiv.org/abs/2109.13226,4.30E+01,,8.00E+09,,,2.56E+12,,,,,,,,,,Industry
Japanese dialog transformers,Language,,NTT Communication Science Laboratories,Industry,"Hiroaki Sugiyama, Masahiro Mizukami, Tsunehiro Arimoto, Hiromi Narimatsu, Yuya Chiba, Hideharu Nakajima, Toyomi Meguro",11/09/2021,2021,Empirical Analysis of Training Strategies of Transformer-based Japanese Chit-chat Systems,https://arxiv.org/abs/2109.05217,3.20E+01,,1.60E+09,,,2.10E+09,,,,,,,,,,Industry
PCL-BAIDU Wenxin (ERNIE 3.0 Titan),Language,,Baidu,Industry,"Shuohuan Wang, Yu Sun, Yang Xiang, Zhihua Wu, Siyu Ding, Weibao Gong, Shikun Feng",23/12/2021,2021,ERNIE 3.0 Titan: Exploring Larger-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,https://arxiv.org/abs/2112.12731,,,2.60E+11,, ERNIE 3.0 Corpus,6.68E+11,,,,,,,,,,Industry
CLIP (ViT L/14@336px),Multimodal,Zero-shot image classification,Open AI,Industry,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",05/01/2021,2021,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/abs/2103.00020,1.30E+02,,3.70E+08,1.1E+22,Custom image-text pairs from the internet,4.00E+08,,1.10E+08,86016,,,,,,1.00E+06,Industry
DALL-E,Drawing,Text-to-image,OpenAI,Industry,"Aditya Ramesh, Mikhail Pavlov, Gabriel Goh, Scott Gray, Chelsea Voss, Alec Radford, Mark Chen, Ilya Sutskever",05/01/2021,2021,Zero-Shot Text-to-Image Generation,https://openai.com/blog/dall-e/,8.00E+01,,1.20E+10,4.7E+22,,2.50E+08,,,,,,,,,132000,Industry
CLIP (ResNet-50),Multimodal,Zero-shot image classification,Open AI,Industry,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",05/01/2021,2021,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/abs/2103.00020,1.30E+02,,8.86E+07,,Custom image-text pairs from the internet,4.00E+08,,7.00E+06,,,,,,,,Industry
Switch,Language,Text autocompletion,Google Brain,Industry,"William Fedus, Barret Zoph, Noam Shazeer",11/01/2021,2021,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,https://arxiv.org/abs/2101.03961,8.00E+01,,1.60E+12,8.2E+22,,4.32E+11,,,,,,,,,,Industry
FLAN,Language,,Google Research,Industry,"Jason Wei, Maarten Bosma, Vincent Y. Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, Quoc V. Le",12/01/2021,2021,Finetuned Language Models Are Zero-Shot Learners,https://arxiv.org/abs/2109.01652,9.00E+00,SOTA Improvement,1.37E+11,,,1.87E+12,,,,,,,,,,Industry
Rational DQN Average,Games,Atari Games,TU Darmstadt,Academia,"Q Delfosse, P Schramowski, A Molina",18/02/2021,2021,Recurrent Rational Networks,https://openreview.net/forum?id=gnRmI8TatHV,1.00E+00,SOTA improvement,1.68E+06,,,,,,,,,,,,,Academia
Meta Pseudo Labels,Vision,Image Classification,"Google AI, Brain team",Industry,"Hieu Pham, Zihang Dai, Qizhe Xie, Minh-Thang Luong, and Quoc V. Le",01/03/2021,2021,Meta pseudo labels,https://arxiv.org/abs/2003.10580,1.31E+02,SOTA Improvement,4.80E+08,2.1E+23,ImageNet,1.30E+08,,,,,,,,,,Industry
M6-10B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,8.00E+00,,1.00E+10,,,1.90E+12,,,,,,,,,,Industry
M6-100B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,8.00E+00,,1.00E+11,,,1.90E+12,,,,,,,,,,Industry
Wu Dao - Wen Yuan,Language,,BAAI,Industry,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,2.60E+09,,,,,,,,,,,,,Industry
Wu Dao - Wen Lan,Multimodal,,BAAI,Industry,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,1.00E+09,,,,,,,,,,,,,Industry
Wu Dao - Wen Hui,Multimodal,,BAAI,Industry,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,1.13E+10,,,,,,,,,,,,,Industry
Wu Dao - Wen Su,Other,Proteins,BAAI,Industry,,01/03/2021,2021,China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0',https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,,,,,,,,,,,,,,Industry
Seq2Seq,Language,,Facebook AI Research,Industry,"Stephen Roller, Emily Dinan, Naman Goyal, Da Ju, Mary Williamson, Yinhan Liu, Jing Xu, Myle Ott, Kurt Shuster, Eric M. Smith, Y-Lan Boureau, Jason Weston",05/03/2021,2021,Recipes for building an open-domain chatbot,https://arxiv.org/abs/2004.13637,2.07E+02,SOTA Improvement,9.40E+09,,,,,,,,,,,,,Industry
M6-T,Multimodal,,Alibaba Group,Industry,"An Yang, Junyang Lin, Rui Men, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Jiamang Wang, Yong Li, Di Zhang, Wei Lin, Lin Qu, Jingren Zhou, Hongxia Yang",05/03/2021,2021,M6-T: Exploring Sparse Expert Models and Beyond,https://arxiv.org/abs/2105.15082,2.00E+00,SOTA Improvement,1.00E+12,,M6-Corpus,1.90E+12,,,,,,,,,,Industry
GPT-Neo,Language,,EleutherAI,Research collective,,21/03/2021,2021,GPT-Neo,https://www.eleuther.ai/projects/gpt-neo/,,,2.70E+09,7.9E+21,The Pile,8.86E+11,,,,,,,,,,Industry
,Language,Text autocompletion,"Stanford, Microsoft Research, NVIDIA",Industry - Academia Collaboration (Industry leaning),"Deepak Narayanan, Mohammad Shoeybi, Jared Casper, Patrick LeGresley, Mostofa Patwary, Vijay Korthikanti, Dmitri Vainbrand, Prethvi Kashinkunti, Julie Bernauer, Bryan Catanzaro, Amar Phanishayee, Matei Zaharia",09/04/2021,2021,Efficient Large-Scale Language Model Training on GPU Clusters,https://arxiv.org/abs/2104.04473,7.00E+00,,1.00E+12,,,,,,,,,,,,,Industry
DLRM-12T,Recommendation,,Facebook AI,Industry,"Dheevatsa Mudigere, Yuchen Hao, Jianyu Huang, Andrew Tulloch, Srinivas Sridharan, Xing Liu, Mustafa Ozdal, Jade Nie, Jongsoo Park, Liang Luo, Jie Amy Yang, Leon Gao, Dmytro Ivchenko, Aarti Basant, Yuxi Hu, Jiyan Yang, Ehsan K. Ardestani, Xiaodong Wang, Rakesh Komuravelli, Ching-Hsiang Chu, Serhat Yilmaz, Huayu Li, Jiyuan Qian, Zhuobo Feng, Yinbin Ma, Junjie Yang, Ellie Wen, Hong Li, Lin Yang, Chonglin Sun, Whitney Zhao, Dimitry Melts, Krishna Dhulipala, KR Kishore, Tyler Graf, Assaf Eisenman, Kiran Kumar Matam, Adi Gangidi, Guoqiang Jerry Chen, Manoj Krishnan, Avinash Nayak, Krishnakumar Nair, Bharath Muthiah, Mahmoud khorashadi, Pallab Bhattacharya, Petr Lapukhov, Maxim Naumov, Lin Qiao, Mikhail Smelyanskiy, Bill Jia, Vijay Rao",12/04/2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,2.00E+00,,1.20E+13,,,,,,,,,,,,,Industry
PanGu-α,Language,,PanGu-α team,Industry,"Wei Zeng, Xiaozhe Ren, Teng Su, Hui Wang, Yi LiaoZhiwei WangXin JiangZhenzhang YangKaisheng WangXiaoda ZhangChen LiZiyan GongYifan YaoXinjing HuangJun WangJianfeng YuQi GuoYue YuYan ZhangJin WangHengtao TaoDasen YanZexuan YiFang PengFangqing JiangHan ZhangLingfeng DengYehong ZhangZhe LinChao ZhangShaojie ZhangMingyue GuoShanzhi GuGaojun FanYaowei WangXuefeng JinQun LiuYonghong Tian",25/04/2021,2021,PanGu-α: Large-scale Autoregressive Pretrained Chinese Language Models with Auto-parallel Computation,https://arxiv.org/abs/2104.12369,5.00E+00,,2.07E+11,5.8E+22,Custom dataset,2.00E+11,,,,,,,,,,Industry
GPT-J-6B,Language,,,Research collective,Aran Komatsuzaki,01/05/2021,2021,GPT-J-6B: 6B JAX-Based Transformer,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,,,6.05E+09,1.5E+22,,1.60E+11,,,,,,,,,,Industry
ProtT5-XXL,Other,Proteins,"Technical University of Munich, Med AI Technology, Google AI, NVIDIA, Oak Ridge National Laboratory",Industry - Academia Collaboration,"A Elnaggar, M Heinzinger, C Dallago, G Rihawi",04/05/2021,2021,ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Learning,https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3,5.70E+01,,1.10E+10,7.4E+22,UniRef; BDF,3.93E+11,,,,,,,,,,Industry
HyperClova,Language,,Naver Corp,Industry,,25/05/2021,2021,Hyperclova,https://www.navercorp.com/promotion/pressReleasesView/30546,,,2.04E+11,6.3E+22,,5.60E+11,,,,,,,,,,Industry
CogView,Drawing,Text-to-image,"Tsinghua University, DAMO academy Alibaba",Industry - Academia Collaboration (Academia leaning),"M Ding, Z Yang, W Hong, W Zheng, C Zhou",26/05/2021,2021,CogView: Mastering Text-to-Image Generation via Transformers,https://arxiv.org/abs/2105.13290,1.00E+00,,4.00E+09,2.7E+22,MS COCO,3.00E+07,,,,,,,,,,Industry
Transformer local-attention (NesT-B),Vision,,"Google cloud AI, Google research, Rutgers University",Industry - Academia Collaboration (Industry Leaning),"Zizhao Zhang, Han Zhang, Long Zhao, Ting Chen, Tomas Pfister",26/05/2021,2021,"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://arxiv.org/abs/2105.12723v4,5.73E+03,Highly cited,,2.4E+19,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
Wu Dao 2.0,Multimodal,,BAAI,,A Tarantola,01/06/2021,2021,China's gigantic multi-modal AI is no one-trick pony,https://www.engadget.com/chinas-gigantic-multi-modal-ai-is-no-one-trick-pony-211414388.html,,,1.75E+12,,,,,,,,,,,,,Industry
ViT-G/14,Vision,,"Google Research, Brain Team",Industry,"X Zhai, A Kolesnikov, N Houlsby, L Beyer",08/06/2021,2021,Scaling Vision Transformers,https://arxiv.org/abs/2106.04560,6.00E+00,,1.80E+09,3.4E+21,JFT-3B,3.00E+09,,,,,,,,,,Industry
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Drawing,,UC Berkeley,Academia,"Jonathan Ho, Ajay Jain, Pieter Abbeel",11/06/2021,2021,Denoising Diffusion Probabilistic Models,https://arxiv.org/abs/2006.11239,1.36E+02,SOTA Improvement,2.56E+08,1.6E+18,,3.03E+06,,,,,,,,,,Academia
ALIGN,Multimodal,Representation Learning,Google AI,Industry,"ChaoJia,YinfeiYang,YeXia,Yi-TingChen,ZaranaParekh,HieuPham,QuocV.Le,YunhsuanSung, Zhen Li, and Tom Duerig",11/06/2021,2021,Scaling up visual and vision-language representation learning with noisy text supervision,https://arxiv.org/abs/2102.05918,7.50E+01,,8.20E+08,2.2E+23,,1.60E+09,,,,,,,,,,Industry
ERNIE 3.0,Language,,Baidu Inc. ,Industry,"Y Sun, S Wang, S Feng, S Ding, C Pang",05/07/2021,2021,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,http://research.baidu.com/Blog/index-view?id=160,1.00E+00,,1.00E+10,2.4E+18,,6.68E+11,,,,,,,,,,Industry
Codex,Language,Code autocompletion,Open AI,Industry,"Mark Chen , Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger,  Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Lukasz Kaiser, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Fotios Chantzis, Elizabeth Barnes, Ariel Herbert-Voss, William Hebgen Guss, Nikolas Tezak, Jie Tang, Igor Babuschkin, Suchir Balaji,  Shantanu Jain, William Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Josh Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba ",07/07/2021,2021,Evaluating Large Language Models Trained on Code,https://openai.com/blog/openai-codex/,3.52E+02,,1.20E+10,,,3.18E+10,,,,,,,,,,Industry
HuBERT,Language,,Facebook AI Research,Industry,"Wei-Ning Hsu, Benjamin Bolte, Yao-Hung Hubert Tsai, Kushal Lakhotia, Ruslan Salakhutdinov, Abdelrahman Mohamed",27/07/2021,2021,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,https://arxiv.org/abs/2106.07447,3.70E+01,SOTA Improvement,1.00E+09,5.5E+21,LibriSpeech,7.88E+08,,,,,,,,,,Industry
GOAT,Games,Open ended play,DeepMind,Industry,Open- Ended Learning Team,27/07/2021,2021,Open-Ended Learning Leads to Generally Capable Agents,https://deepmind.com/blog/article/generally-capable-agents-emerge-from-open-ended-play,1.02E+02,,3.50E+06,7.8E+22,XLand,3.90E+11,,,,,,,,,,Industry
SEER,Vision,,"Facebook AI Research, Inria",Industry - Academia Collaboration (Industry leaning),"Priya Goyal, Mathilde Caron, Benjamin Lefaudeux, Min Xu, Pengchao Wang, Vivek Pai, Mannat Singh, Vitaliy Liptchinsky, Ishan Misra, Armand Joulin, Piotr Bojanowski",29/07/2021,2021,Self-supervised Pretraining of Visual Features in the Wild,https://arxiv.org/abs/2103.01988,3.90E+01,Important context,1.30E+09,4.4E+21,,1.00E+09,,,,,,,,,,Industry
Perceiver IO,Multimodal,,DeepMind,Industry,"Andrew Jaegle, Sebastian Borgeaud, Jean-Baptiste Alayrac, Carl Doersch, Catalin Ionescu, David Ding, Skanda Koppula, Daniel Zoran, Andrew Brock, Evan Shelhamer, Olivier Hénaff,
Matthew M. Botvinick, Andrew Zisserman, Oriol Vinyals, João Carreira",08/02/2020,2020,Perceiver IO: A General Architecture for Structured Inputs & Outputs,https://arxiv.org/abs/2107.14795,1.04E+02,,,,,,,,,,,,,,,Industry
Jurassic-1-Jumbo,Language,,AI21 Labs,Industry,"Opher Lieber, Or Sharir, Barak Lenz, Yoav Shoham",11/08/2021,2021,Jurassic-1: Technical Details and Evaluation,https://uploads-ssl.webflow.com/60fd4503684b466578c0d307/61138924626a6981ee09caf6_jurassic_tech_paper.pdf,9.00E+00,,1.78E+11,3.7E+23,,2.25E+11,,,,,,,,,,Industry
XLMR-XXL,Language,,Facebook AI Research,Industry,"Naman Goyal, Jingfei Du, Myle Ott, Giri Anantharaman, Alexis Conneau",17/08/2021,2021,Larger-Scale Transformers for Multilingual Masked Language Modeling,https://arxiv.org/abs/2105.00572,1.00E+00,SOTA Improvement,1.07E+10,,CC100,1.25E+11,,,,,,,,,,Industry
FLAN,Language,,Google Research,Industry,"Jason Wei, Maarten Bosma, Vincent Y. Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, and Quoc V. Le",03/09/2021,2021,Fine-tuned Language Models Are Zero-Shot Learners,https://arxiv.org/abs/2109.01652,1.05E+02,,,,,,,,,,,,,,,Industry
MEB,Search,,Microsoft Bing,Industry,"W Liu, Z Wang, X Liu, N Zeng, Y Liu, FE Alsaadi",04/09/2021,2021,Make Every feature Binary: A 135B parameter sparse neural network for massively improved search relevance,https://www.microsoft.com/en-us/research/blog/make-every-feature-binary-a-135b-parameter-sparse-neural-network-for-massively-improved-search-relevance/,2.60E+01,,1.35E+11,,,,,,,,,,,,,Industry
M6-10T,Multimodal,,Alibaba,Industry,"Junyang Lin, An Yang, Jinze Bai, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Yong Li, Wei Lin, Jingren Zhou, Hongxia Yang",8/10/2021,2021,M6-10T: A Sharing-Delinking Paradigm for Efficient Multi-Trillion Parameter Pretraining,https://arxiv.org/abs/2110.03888,1.40E+01,,1.00E+13,5.5E+21,BookCorpus; English Wikipedia,8.00E+09,,,122880,,,,,,,Industry
Megatron-Turing NLG 530B,Language,,"Microsoft, NVIDIA",Industry,"Ali Alvi, Paresh Kharya",11/10/2021,2021,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, the World’s Largest and Most Powerful Generative Language Model",https://www.microsoft.com/en-us/research/blog/using-deepspeed-and-megatron-to-train-megatron-turing-nlg-530b-the-worlds-largest-and-most-powerful-generative-language-model/,NA,,5.30E+11,1.4E+24,,2.03E+11,,,,,,,,,,Industry
T0-XXL,Language,,"Hugging Face, Brown University, BigScience",Industry - Academia Collaboration (Industry leaning),"Victor Sanh, Albert Webson, Colin Raffel, Stephen H. Bach, Lintang Sutawika, Zaid Alyafeai, Antoine Chaffin, Arnaud Stiegler, Teven Le Scao, Arun Raja, Manan Dey, M Saiful Bari, Canwen Xu, Urmish Thakker, Shanya Sharma Sharma, Eliza Szczechla, Taewoon Kim, Gunjan Chhablani, Nihal Nayak, Debajyoti Datta, Jonathan Chang, Mike Tian-Jian Jiang, Han Wang, Matteo Manica, Sheng Shen, Zheng Xin Yong, Harshit Pandey, Rachel Bawden, Thomas Wang, Trishala Neeraj, Jos Rozen, Abheesht Sharma, Andrea Santilli, Thibault Fevry, Jason Alan Fries, Ryan Teehan, Stella Biderman, Leo Gao, Tali Bers, Thomas Wolf, Alexander M. Rush",15/10/2021,2021,Multitask Prompted Training Enables Zero-Shot Task Generalization,https://arxiv.org/abs/2110.08207,1.40E+01,,1.10E+10,,,,,,,,,,,,,Industry
Cloob,Multimodal,,"Ellis Unit Linz and LIT AI Lab, Johannes Kepler University, IARIA Vienna, HERE Technologies",Industry - Academia Collaboration (Academia Leaning),"Andreas Fürst ∗Elisabeth Rumetshofer ∗Johannes Lehner,Viet Tran,Fei Tang, Hubert Ramsauer, David Kreil, Michael Kopp, Günter Klambauer, Angela Bitto-Nemling, Sepp Hochreiter",21/10/2021,2021,CLOOB: Modern Hopfield Networks with InfoLOOB Outperform CLIP,https://arxiv.org/abs/2110.11316,,,,,,1.50E+07,,,,,,,,,,Industry
EfficientZero,Games,,"Tsinghua University, UC Berkeley, Shanghai Qi Zhi institute",Academia,"Weirui Ye, Shaohuai Liu, Thanard Kurutach, Pieter Abbeel, Yang Gao",30/10/2021,2021,Mastering Atari Games with Limited Data,https://arxiv.org/abs/2111.00210,6.00E+00,,,,,,,,,,,,,,,Academia
Yuan 1.0,Language,,Inspur,Industry,"Shaohua Wu, Xudong Zhao, Tong Yu, Rongguo Zhang, Chong Shen, Hongli Liu, Feng Li, Hong Zhu, Jiangang Luo, Liang Xu, Xuanwei Zhang, Jun Liu",12/10/2021,2021,Yuan 1.0: Large-Scale Pre-trained Language Model in Zero-Shot and Few-Shot Learning,https://arxiv.org/abs/2110.04725,4.00E+00,,2.45E+11,4.1E+23,,8.35E+11,,,,,,,,,,Industry
Gopher,Language,Language modelling,DeepMind,Industry,"Jack W. Rae, Sebastian Borgeaud, Trevor Cai, Katie Millican, Jordan Hoffmann, Francis Song, John Aslanides, Sarah Henderson, Roman Ring, Susannah Young, Eliza Rutherford, Tom Hennigan, Jacob Menick, Albin Cassirer, Richard Powell, George van den Driessche, Lisa Anne Hendricks, Maribeth Rauh, Po-Sen Huang, Amelia Glaese, Johannes Welbl, Sumanth Dathathri, Saffron Huang, Jonathan Uesato, John Mellor, Irina Higgins, Antonia Creswell, Nat McAleese, Amy Wu, Erich Elsen, Siddhant Jayakumar, Elena Buchatskaya, David Budden, Esme Sutherland, Karen Simonyan, Michela Paganini, Laurent Sifre, Lena Martens, Xiang Lorraine Li, Adhiguna Kuncoro, Aida Nematzadeh, Elena Gribovskaya, Domenic Donato, Angeliki Lazaridou, Arthur Mensch, Jean-Baptiste Lespiau, Maria Tsimpoukelli, Nikolai Grigorev, Doug Fritz, Thibault Sottiaux, Mantas Pajarskas, Toby Pohlen, Zhitao Gong, Daniel Toyama, Cyprien de Masson d’Autume, Yujia Li, Tayfun Terzi, Vladimir Mikulik, Igor Babuschkin, Aidan Clark, Diego de Las Casas, Aurelia Guy, Chris Jones, James Bradbury, Matthew Johnson, Blake Hechtman, Laura Weidinger, Iason Gabriel, William Isaac, Ed Lockhart, Simon Osindero, Laura Rimell, Chris Dyer, Oriol Vinyals, Kareem Ayoub, Jeff Stanway, Lorrayne Bennett, Demis Hassabis, Koray Kavukcuoglu and Geoffrey Irving",8/12/2021,2021,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher",https://deepmind.com/blog/article/language-modelling-at-scale,,,2.80E+11,6.3E+23,,2.25E+11,,,,,,,,,,Industry
